sample,region,X,Y
8804652,EAST_MIDLANDS,435000,333000
11733949,EAST_MIDLANDS,524000,326000
12148469,EAST_MIDLANDS,404000,383000
12160288,EAST_MIDLANDS,470000,343000
12160869,EAST_MIDLANDS,475000,257000
12161591,EAST_MIDLANDS,478000,250000
12162161,EAST_MIDLANDS,462000,337000
12164670,EAST_MIDLANDS,455000,299000
12178615,EAST_MIDLANDS,490000,326000
12196518,EAST_MIDLANDS,454000,319000
12305785,EAST_MIDLANDS,403000,396000
12424630,EAST_MIDLANDS,504000,367000
12539242,EAST_MIDLANDS,522000,358000
12663617,EAST_MIDLANDS,450000,360000
12842840,EAST_MIDLANDS,479000,266000
13276348,EAST_MIDLANDS,456000,319000
13381046,EAST_MIDLANDS,475000,376000
13381072,EAST_MIDLANDS,470000,375000
13381074,EAST_MIDLANDS,508000,291000
13381081,EAST_MIDLANDS,469000,383000
13384567,EAST_MIDLANDS,493000,343000
13495299,EAST_MIDLANDS,449000,298000
13499328,EAST_MIDLANDS,492000,277000
14021716,EAST_MIDLANDS,474000,371000
14023381,EAST_MIDLANDS,433000,321000
14024054,EAST_MIDLANDS,484000,258000
14068659,EAST_MIDLANDS,536000,360000
14204445,EAST_MIDLANDS,502000,349000
14239600,EAST_MIDLANDS,497000,303000
14309628,EAST_MIDLANDS,510000,328000
14456716,EAST_MIDLANDS,444000,380000
14464904,EAST_MIDLANDS,539000,342000
14466933,EAST_MIDLANDS,493000,380000
14525762,EAST_MIDLANDS,479000,394000
14534108,EAST_MIDLANDS,405000,374000
14562745,EAST_MIDLANDS,459000,343000
14599253,EAST_MIDLANDS,455000,299000
14599265,EAST_MIDLANDS,502000,349000
14605399,EAST_MIDLANDS,475000,376000
14640403,EAST_MIDLANDS,478000,250000
14648413,EAST_MIDLANDS,452000,285000
14648806,EAST_MIDLANDS,478000,379000
14650715,EAST_MIDLANDS,537000,321000
14657642,EAST_MIDLANDS,516000,315000
14668187,EAST_MIDLANDS,479000,243000
14728195,EAST_MIDLANDS,475000,257000
14730794,EAST_MIDLANDS,474000,371000
14746557,EAST_MIDLANDS,547000,376000
14758807,EAST_MIDLANDS,470000,375000
14787121,EAST_MIDLANDS,464000,284000
14815819,EAST_MIDLANDS,402000,393000
14846585,EAST_MIDLANDS,508000,291000
14859414,EAST_MIDLANDS,458000,379000
14913679,EAST_MIDLANDS,497000,303000
15021729,EAST_MIDLANDS,440000,343000
15043702,EAST_MIDLANDS,459000,338000
15061280,EAST_MIDLANDS,462000,337000
15071172,EAST_MIDLANDS,506000,298000
15075333,EAST_MIDLANDS,479000,243000
15089611,EAST_MIDLANDS,450000,360000
15174174,EAST_MIDLANDS,547000,376000
15182057,EAST_MIDLANDS,457000,333000
15190816,EAST_MIDLANDS,452000,328000
15235616,EAST_MIDLANDS,438000,367000
15299066,EAST_MIDLANDS,457000,342000
15317157,EAST_MIDLANDS,479000,266000
15371396,EAST_MIDLANDS,452000,285000
15421949,EAST_MIDLANDS,509000,283000
15449831,EAST_MIDLANDS,448000,304000
15462972,EAST_MIDLANDS,507000,334000
15638003,EAST_MIDLANDS,438000,364000
16044931,EAST_MIDLANDS,501000,297000
8832245,EAST_OF_ENGLAND,633000,312000
9427886,EAST_OF_ENGLAND,585000,192000
11293212,EAST_OF_ENGLAND,637000,316000
11967690,EAST_OF_ENGLAND,597000,273000
