sample,region,X,Y
19972293,SOUTH_WEST_(ENGLAND),89000,15000
20329629,SOUTH_WEST_(ENGLAND),93000,16000
17530014,SCOTLAND,124000,859000
20328659,SCOTLAND,139000,724000
16582456,SOUTH_WEST_(ENGLAND),144000,38000
18996914,SOUTH_WEST_(ENGLAND),144000,38000
19834446,SOUTH_WEST_(ENGLAND),146000,35000
20051618,SOUTH_WEST_(ENGLAND),152000,39000
19864954,SOUTH_WEST_(ENGLAND),153000,31000
20131435,SOUTH_WEST_(ENGLAND),165000,27000
20259367,SCOTLAND,165000,789000
19665824,SOUTH_WEST_(ENGLAND),173000,29000
16949187,SOUTH_WEST_(ENGLAND),176000,36000
20156406,SOUTH_WEST_(ENGLAND),176000,35000
18557619,SOUTH_WEST_(ENGLAND),178000,41000
18840572,SOUTH_WEST_(ENGLAND),178000,40000
16035742,SOUTH_WEST_(ENGLAND),179000,42000
19938877,SOUTH_WEST_(ENGLAND),191000,40000
18647062,WALES,196000,224000
19665695,WALES,196000,224000
18059314,SOUTH_WEST_(ENGLAND),197000,58000
17716803,WALES,198000,214000
18466211,WALES,202000,201000
17716787,WALES,202000,201000
18302892,WALES,205000,215000
17788800,SOUTH_WEST_(ENGLAND),207000,81000
19876646,SCOTLAND,209000,665000
19915733,WALES,211000,220000
18906237,WALES,211000,208000
16704196,SCOTLAND,212000,778000
18298324,SOUTH_WEST_(ENGLAND),212000,51000
20112161,WALES,215000,235000
17717468,WALES,215000,235000
19662067,SOUTH_WEST_(ENGLAND),222000,113000
18548679,WALES,223000,225000
16621828,SOUTH_WEST_(ENGLAND),224000,127000
15515836,SOUTH_WEST_(ENGLAND),225000,116000
18407249,SOUTH_WEST_(ENGLAND),225000,116000
19661870,SCOTLAND,227000,643000
19888930,SCOTLAND,227000,643000
19867108,WALES,228000,335000
16585389,SOUTH_WEST_(ENGLAND),229000,106000
19879420,SOUTH_WEST_(ENGLAND),229000,63000
17717046,SOUTH_WEST_(ENGLAND),231000,72000
18572170,SOUTH_WEST_(ENGLAND),231000,72000
13445191,SOUTH_WEST_(ENGLAND),232000,67000
20034618,SCOTLAND,232000,814000
20078329,SCOTLAND,234000,651000
20310451,WALES,237000,246000
16969916,WALES,239000,239000
20019051,WALES,239000,345000
16582444,SCOTLAND,239000,660000
19733571,SOUTH_WEST_(ENGLAND),241000,80000
19903822,SCOTLAND,241000,676000
16275472,SCOTLAND,242000,664000
16583861,SOUTH_WEST_(ENGLAND),243000,122000
