sample,region,X,Y
6637965,England,552000,156000
6644393,England,393000,425000
6645020,England,332000,158000
6690615,England,458000,107000
6691211,England,469000,383000
6708150,England,394000,188000
6710981,Wales,313000,188000
6715123,Scotland,352000,809000
6717812,England,514000,420000
6717947,England,292000,55000
6719273,England,403000,163000
6725807,England,458000,225000
6728934,England,594000,199000
6729478,England,490000,142000
6730795,England,527000,216000
6737823,England,541000,134000
6742346,England,544000,171000
6745321,England,466000,138000
6745347,England,537000,184000
6746474,Wales,278000,382000
6754042,England,460000,303000
6761104,Scotland,227000,643000
6766605,England,335000,158000
6771776,England,368000,207000
6773462,England,245000,54000
6778992,England,345000,523000
6779941,England,428000,209000
6792275,England,225000,67000
6797084,England,237000,65000
6800272,England,440000,422000
6819648,England,472000,180000
6830232,England,401000,446000
6837852,Wales,318000,181000
6837947,Wales,235000,377000
6837999,England,371000,91000
6838316,England,385000,254000
6838493,England,520000,169000
6838595,England,563000,196000
6838611,England,395000,425000
6838637,England,384000,141000
6838640,England,594000,273000
6840946,Scotland,271000,658000
6841271,England,415000,132000
6841312,England,499000,203000
6842357,England,396000,164000
6848400,England,517000,153000
6854115,England,470000,184000
6857877,England,548000,221000
6871948,England,400000,427000
6876679,England,590000,292000
6885109,England,518000,130000
6938479,England,563000,209000
6958250,England,515000,167000
6962089,England,510000,300000
6964869,England,520000,177000
6972813,England,427000,435000
6985082,England,355000,107000
6998821,England,516000,175000
7034539,England,502000,223000
7034657,England,518000,154000
