sample,Region,X,Y
3719590,SOUTH_WEST_,334000,145000
3760044,SOUTH_WEST_,324000,123000
3778456,SOUTH_WEST_,290000,65000
3789544,SOUTH_WEST_,379000,223000
3805279,SOUTH_WEST_,356000,177000
3805284,SOUTH_WEST_,416000,126000
3891288,SOUTH_WEST_,159000,28000
3891449,SOUTH_WEST_,413000,226000
3917630,SOUTH_WEST_,286000,63000
3939891,SOUTH_WEST_,356000,175000
3951201,SOUTH_WEST_,370000,180000
3953269,SOUTH_WEST_,313000,102000
3969451,SOUTH_WEST_,250000,53000
4054254,SOUTH_WEST_,326000,137000
4066354,SOUTH_WEST_,288000,147000
4952257,SOUTH_WEST_,138000,22000
3690059,WALES,313000,195000
3691132,WALES,352000,206000
3692157,WALES,235000,377000
3757923,WALES,316000,234000
3800094,WALES,325000,364000
3876033,WALES,260000,204000
3882820,WALES,257000,354000
3891819,WALES,262000,283000
3895162,WALES,251000,263000
4230535,WALES,282000,232000
3508079,WEST_MIDLANDS_,423000,276000
3675729,WEST_MIDLANDS_,404000,251000
3690029,WEST_MIDLANDS_,399000,245000
3690070,WEST_MIDLANDS_,413000,280000
3690642,WEST_MIDLANDS_,329000,250000
3692677,WEST_MIDLANDS_,330000,281000
3692678,WEST_MIDLANDS_,371000,339000
3693489,WEST_MIDLANDS_,429000,233000
3694250,WEST_MIDLANDS_,390000,283000
3698840,WEST_MIDLANDS_,393000,334000
3700377,WEST_MIDLANDS_,435000,258000
3704365,WEST_MIDLANDS_,395000,244000
3728616,WEST_MIDLANDS_,435000,295000
3757844,WEST_MIDLANDS_,391000,342000
3782381,WEST_MIDLANDS_,370000,240000
3839295,WEST_MIDLANDS_,439000,258000
3969608,WEST_MIDLANDS_,331000,241000
3690030,YORKSHIRE_AND_THE_HUMBER,499000,459000
3691243,YORKSHIRE_AND_THE_HUMBER,416000,502000
3691603,YORKSHIRE_AND_THE_HUMBER,480000,415000
3703686,YORKSHIRE_AND_THE_HUMBER,427000,435000
4044403,YORKSHIRE_AND_THE_HUMBER,420000,462000
4049122,YORKSHIRE_AND_THE_HUMBER,471000,432000
